										
										
										
pollster	date	sampleSiz	dvalue	rvalue	finalD	finalR	year	winner	type	
RCP Average	10/13 - 11/3	None	49.7	42.4	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	11/1 - 11/3	774 LV	50	43	53.3	44.9	2018	D	congressional	
CNN	11/1 - 11/3	1151 LV	55	42	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	10/29 - 11/1	737 LV	52	44	53.3	44.9	2018	D	congressional	
Rasmussen Reports	10/28 - 11/1	2500 LV	45	46	53.3	44.9	2018	D	congressional	
IBD/TIPP	10/25 - 11/3	798 LV	50	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/28 - 10/30	1296 RV	47	42	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	10/28 - 10/29	509 LV	52	43	53.3	44.9	2018	D	congressional	
Harvard-Harris	10/26 - 10/28	1835 RV	47	38	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	10/24 - 10/30	1383 LV	49	42	53.3	44.9	2018	D	congressional	
Rasmussen Reports	10/21 - 10/25	2500 LV	47	44	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/21 - 10/23	1233 RV	47	41	53.3	44.9	2018	D	congressional	
NPR/PBS/Marist	10/21 - 10/23	738 RV	50	40	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	10/17 - 10/23	2062 LV	49	42	53.3	44.9	2018	D	congressional	
USA Today/Suffolk	10/18 - 10/22	1000 LV	51	43	53.3	44.9	2018	D	congressional	
Rasmussen Reports	10/14 - 10/18	2500 LV	47	44	53.3	44.9	2018	D	congressional	
NBC News/Wall St. Jrnl	10/14 - 10/17	645 LV	50	41	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/14 - 10/16	1273 RV	46	41	53.3	44.9	2018	D	congressional	
FOX News	10/13 - 10/16	841 LV	49	42	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	10/10 - 10/16	1194 LV	51	40	53.3	44.9	2018	D	congressional	
ABC News/Wash Post	10/8 - 10/11	991 RV	53	42	53.3	44.9	2018	D	congressional	
Rasmussen Reports	10/7 - 10/11	2500 LV	45	44	53.3	44.9	2018	D	congressional	
Economist/YouGov	10/7 - 10/9	1162 RV	47	41	53.3	44.9	2018	D	congressional	
Reuters/Ipsos	10/3 - 10/9	2012 LV	50	38	53.3	44.9	2018	D	congressional	
CNBC	10/4 - 10/7	800 A	42	36	53.3	44.9	2018	D	congressional	
