index,pollster,date,sampleSize,marginError,dvalue,rvalue,state,type,year,winner,Type,level_0
1,The Hill/Emerson,7/23/2024,800,3.4,46,42,Arizona,senate,2024,ongoing,senate,
2,Rasmussen Reports,7/12/2024,1101,3,44,41,Arizona,senate,2024,ongoing,senate,
3,PPP (D),7/11/2024,596,,50,47,Arizona,senate,2024,ongoing,senate,
4,The Times/SAY,7/12/2024,900,3.9,48,41,Arizona,senate,2024,ongoing,senate,
5,Remington Research (R),7/1/2024,,4,47,47,Arizona,senate,2024,ongoing,senate,
12,AmGreatness/NSOR*,6/20/2024,600,4,39,38,Arizona,senate,2024,ongoing,senate,
13,The Hill/Emerson,6/18/2024,1000,3,45,41,Arizona,senate,2024,ongoing,senate,
14,Rasmussen Reports,6/13/2024,750,4,44,41,Arizona,senate,2024,ongoing,senate,
15,Fabrizio/Anzalone,6/4/2024,600,4,48,45,Arizona,senate,2024,ongoing,senate,
16,CBS News,5/16/2024,1193,3.6,49,36,Arizona,senate,2024,ongoing,senate,
17,Noble Predictive Insights,5/14/2024,1003,3.1,46,36,Arizona,senate,2024,ongoing,senate,
18,Cook Political Report,5/13/2024,527,4.3,46,41,Arizona,senate,2024,ongoing,senate,
19,NY Times/Siena,5/9/2024,626,4.2,46,43,Arizona,senate,2024,ongoing,senate,
20,The Hill/Emerson,4/29/2024,1000,3,45,43,Arizona,senate,2024,ongoing,senate,
21,The Hill/Emerson,3/15/2024,1000,3,51,49,Arizona,senate,2024,ongoing,senate,
22,The Hill/Emerson,2/19/2024,1000,3,46,39,Arizona,senate,2024,ongoing,senate,
23,Noble Predictive Insights,2/13/2024,1002,3.1,47,37,Arizona,senate,2024,ongoing,senate,
24,Noble Predictive Insights,7/17/2023,1000,3.1,45,35,Arizona,senate,2024,ongoing,senate,
25,OH Predictive Insights,2/9/2023,1000,3.1,43,33,Arizona,senate,2024,ongoing,senate,
1,PPIC,7/2/2024,1261,3.7,64,33,California,senate,2024,ongoing,senate,
2,LA Times/Berkeley IGS,2/27/2024,6534,2,53,38,California,senate,2024,ongoing,senate,
5,PPIC,6/2/2023,1098,3.7,62,37,California,senate,2024,ongoing,senate,
6,PPIC,3/25/2023,1089,3.9,61,37,California,senate,2024,ongoing,senate,
1,Univ. of North Florida,7/27/2024,774,4.6,43,47,Florida,senate,2024,ongoing,senate,
2,Florida Atlantic University,6/9/2024,777,3.6,43,45,Florida,senate,2024,ongoing,senate,
3,CBS News,5/16/2024,1181,3.6,37,45,Florida,senate,2024,ongoing,senate,
4,Emerson,4/10/2024,1000,3,38,45,Florida,senate,2024,ongoing,senate,
9,Florida Atlantic University,4/17/2024,865,3.3,35,52,Florida,senate,2024,ongoing,senate,
1,PPP (D),6/20/2024,635,3.9,48,40,Maryland,senate,2024,ongoing,senate,
2,The Hill/Emerson,5/8/2024,1115,2.9,48,38,Maryland,senate,2024,ongoing,senate,
4,The Hill/Emerson,5/8/2024,1115,2.9,49,38,Maryland,senate,2024,ongoing,senate,
5,Baltimore Sun,4/10/2024,1292,3,40,53,Maryland,senate,2024,ongoing,senate,
6,Goucher College,3/24/2024,800,3.5,42,43,Maryland,senate,2024,ongoing,senate,
7,Wash Post/Univ. of Maryland,3/12/2024,1004,3.3,37,49,Maryland,senate,2024,ongoing,senate,
1,The Hill/Emerson,3/18/2024,1000,3,42,34,Michigan,senate,2024,ongoing,senate,
2,Detroit News/Glengariff,1/6/2024,600,4,36,36,Michigan,senate,2024,ongoing,senate,
3,The Hill/Emerson,3/18/2024,1000,3,43,35,Michigan,senate,2024,ongoing,senate,
5,NY Times/Siena,8/8/2023,619,,46,43,Michigan,senate,2024,ongoing,senate,
6,FOX News,7/24/2023,1012,3,51,46,Michigan,senate,2024,ongoing,senate,
7,The Hill/Emerson,7/23/2023,800,3.4,45,41,Michigan,senate,2024,ongoing,senate,
8,Rasmussen Reports,7/12/2023,1025,3,43,40,Michigan,senate,2024,ongoing,senate,
9,PPP (D),7/11/2023,568,,45,35,Michigan,senate,2024,ongoing,senate,
10,The Times/SAY,7/12/2023,1000,3.6,48,39,Michigan,senate,2024,ongoing,senate,
11,Remington Research (R),7/1/2023,584,4,47,43,Michigan,senate,2024,ongoing,senate,
1,The Hill/Emerson,6/18/2024,1000,3,47,37,Minnesota,senate,2024,ongoing,senate,
2,KSTP/SurveyUSA,6/16/2024,626,4.5,49,36,Minnesota,senate,2024,ongoing,senate,
6,KSTP/SurveyUSA,5/11/2024,625,4.3,48,34,Minnesota,senate,2024,ongoing,senate,
7,KSTP/SurveyUSA,4/7/2024,608,4.9,51,34,Minnesota,senate,2024,ongoing,senate,
8,KSTP/SurveyUSA,2/28/2024,1603,3,49,33,Minnesota,senate,2024,ongoing,senate,
0,The Hill/Emerson,6/19/2024,1000,3,38,47,Missouri,senate,2024,ongoing,senate,
1,Missouri Scout,3/8/2024,713,,39,53,Missouri,senate,2024,ongoing,senate,
2,Emerson,1/28/2024,1777,2.2,30,43,Missouri,senate,2024,ongoing,senate,
3,Emerson,10/4/2023,491,4.4,32,45,Missouri,senate,2024,ongoing,senate,
1,The Hill/Emerson,8/6/2024,1000,3,46,48,Montana,senate,2024,ongoing,senate,
2,Remington Research (R),7/1/2024,,4,45,50,Montana,senate,2024,ongoing,senate,
6,The Hill/Emerson,3/2/2024,1000,3,44,42,Montana,senate,2024,ongoing,senate,
7,KULR-8/SurveyUSA,2/15/2024,549,4.5,49,40,Montana,senate,2024,ongoing,senate,
8,Emerson,10/4/2023,447,4.6,39,35,Montana,senate,2024,ongoing,senate,
1,Rasmussen Reports,7/12/2024,761,3,45,42,Nevada,senate,2024,ongoing,senate,
2,The Times/SAY,7/12/2024,800,4.7,47,40,Nevada,senate,2024,ongoing,senate,
3,Remington Research (R),7/1/2024,601,4,48,46,Nevada,senate,2024,ongoing,senate,
4,Noble Predictive Insights,6/5/2024,424,4.8,43.5,34,Nevada,senate,2024,ongoing,senate,
5,Noble Predictive Insights,2/5/2024,296,5.7,44,34,Nevada,senate,2024,ongoing,senate,
7,The Hill/Emerson,3/15/2024,1000,3,,,Nevada,senate,2024,ongoing,senate,
8,Noble Predictive Insights,2/5/2024,829,3.4,,,Nevada,senate,2024,ongoing,senate,
0,Fairleigh Dickinson,4/8/2024,809,4.3,45,39,New Jersey,senate,2024,ongoing,senate,
1,Fairleigh Dickinson,4/8/2024,809,4.3,47,38,New Jersey,senate,2024,ongoing,senate,
2,Fairleigh Dickinson,4/8/2024,809,4.3,49,39,New Jersey,senate,2024,ongoing,senate,
3,Fairleigh Dickinson,4/8/2024,809,4.3,44,38,New Jersey,senate,2024,ongoing,senate,
1,Fabrizio/Anzalone,7/28/2024,600,4,46,42,Ohio,senate,2024,ongoing,senate,
2,Remington Research (R),7/1/2024,,4,50,44,Ohio,senate,2024,ongoing,senate,
3,Marist,6/6/2024,1137,3.6,50,45,Ohio,senate,2024,ongoing,senate,
4,East Carolina U.,3/11/2024,1298,3.2,45,41,Ohio,senate,2024,ongoing,senate,
5,ONU/SurveyUSA,3/11/2024,1121,3.3,43,37,Ohio,senate,2024,ongoing,senate,
12,The Hill/Emerson,3/10/2024,1300,2.6,39,34,Ohio,senate,2024,ongoing,senate,
13,Emerson,1/25/2024,1844,2.3,39,37,Ohio,senate,2024,ongoing,senate,
14,WJW-TV/Emerson,11/13/2023,1000,3,42,32,Ohio,senate,2024,ongoing,senate,
15,Data for Progress (D)**,11/2/2023,597,4,47,44,Ohio,senate,2024,ongoing,senate,
16,Emerson,10/4/2023,438,4.5,35,33,Ohio,senate,2024,ongoing,senate,
17,USA Today/Suffolk,7/12/2023,500,4.4,48,41,Ohio,senate,2024,ongoing,senate,
18,East Carolina U.,6/24/2023,805,4,46,42,Ohio,senate,2024,ongoing,senate,
1,NY Times/Siena,8/8/2024,693,,51,37,Pennsylvania,senate,2024,ongoing,senate,
2,Susquehanna,7/28/2024,600,4,47,42,Pennsylvania,senate,2024,ongoing,senate,
3,FOX News,7/24/2024,1034,3,55,42,Pennsylvania,senate,2024,ongoing,senate,
4,The Hill/Emerson,7/23/2024,850,3.3,48,44,Pennsylvania,senate,2024,ongoing,senate,
5,AmGreatness/NSOR,7/23/2024,600,4,49,41,Pennsylvania,senate,2024,ongoing,senate,
6,PPP (D),7/11/2024,537,,47,44,Pennsylvania,senate,2024,ongoing,senate,
7,Rasmussen Reports,7/12/2024,1041,3,46,43,Pennsylvania,senate,2024,ongoing,senate,
8,The Times/SAY,7/12/2024,1000,3.4,50,38,Pennsylvania,senate,2024,ongoing,senate,
9,Remington Research (R),7/1/2024,673,4,49,48,Pennsylvania,senate,2024,ongoing,senate,
17,NY Times/Siena,7/11/2024,872,,50,42,Pennsylvania,senate,2024,ongoing,senate,
21,Cygnal (R),6/28/2024,800,3.5,46,42,Pennsylvania,senate,2024,ongoing,senate,
22,The Hill/Emerson,6/18/2024,1000,3,47,41,Pennsylvania,senate,2024,ongoing,senate,
23,Marist,6/6/2024,1181,3.6,52,46,Pennsylvania,senate,2024,ongoing,senate,
24,Cook Political Report,5/13/2024,730,3.6,49,41,Pennsylvania,senate,2024,ongoing,senate,
25,NY Times/Siena,5/9/2024,1023,3.6,46,44,Pennsylvania,senate,2024,ongoing,senate,
26,Fabrizio/Anzalone,4/30/2024,1398,4,48,44,Pennsylvania,senate,2024,ongoing,senate,
27,Muhlenberg College,4/25/2024,417,6,45,41,Pennsylvania,senate,2024,ongoing,senate,
28,The Hill/Emerson,4/29/2024,1000,3,46,42,Pennsylvania,senate,2024,ongoing,senate,
29,CBS News,4/25/2024,1306,3.1,46,39,Pennsylvania,senate,2024,ongoing,senate,
30,Franklin u0026amp; Marshall,3/31/2024,870,4,46,39,Pennsylvania,senate,2024,ongoing,senate,
31,The Hill/Emerson,3/13/2024,1000,3,52,48,Pennsylvania,senate,2024,ongoing,senate,
32,Susquehanna,3/5/2024,450,4.6,48,42,Pennsylvania,senate,2024,ongoing,senate,
33,The Hill/Emerson,2/16/2024,1000,3,49,39,Pennsylvania,senate,2024,ongoing,senate,
34,Franklin u0026amp; Marshall,1/28/2024,1006,3.6,47,35,Pennsylvania,senate,2024,ongoing,senate,
35,Susquehanna,1/21/2024,745,3.7,46,42,Pennsylvania,senate,2024,ongoing,senate,
36,Quinnipiac,1/8/2024,1680,2.4,53,43,Pennsylvania,senate,2024,ongoing,senate,
37,Franklin u0026amp; Marshall,10/22/2023,873,4.1,46,39,Pennsylvania,senate,2024,ongoing,senate,
38,Emerson,10/4/2023,430,4.7,41,33,Pennsylvania,senate,2024,ongoing,senate,
39,Quinnipiac,10/2/2023,1725,2.4,50,44,Pennsylvania,senate,2024,ongoing,senate,
40,Susquehanna,5/8/2023,700,3.7,53,41,Pennsylvania,senate,2024,ongoing,senate,
41,Franklin u0026amp; Marshall,4/7/2023,643,4.9,42,35,Pennsylvania,senate,2024,ongoing,senate,
1,Vanderbilt University,5/9/2024,1003,3.4,40,51,Tennessee,senate,2024,ongoing,senate,
2,Emerson,10/4/2024,410,4.8,26,50,Tennessee,senate,2024,ongoing,senate,
5,Vanderbilt University,12/2/2024,1005,3.4,36,53,Tennessee,senate,2024,ongoing,senate,
1,Remington Research (R),7/1/2024,589,4,43,53,Texas,senate,2024,ongoing,senate,
2,University of Houston*,7/1/2024,1484,2.5,44,47,Texas,senate,2024,ongoing,senate,
3,University of Texas,6/9/2024,1200,2.8,34,45,Texas,senate,2024,ongoing,senate,
4,TX Hispanic Policy Foundation*,4/10/2024,1600,2.5,41,46,Texas,senate,2024,ongoing,senate,
5,Cygnal (R)*,4/6/2024,1000,2.9,36,45,Texas,senate,2024,ongoing,senate,
10,University of Texas,4/22/2024,1200,2.8,33,46,Texas,senate,2024,ongoing,senate,
13,Marist,3/21/2024,1117,3.8,45,51,Texas,senate,2024,ongoing,senate,
14,University of Texas,2/12/2024,1200,2.8,32,46,Texas,senate,2024,ongoing,senate,
15,University of Houston*,1/24/2024,1145,2.5,39,48,Texas,senate,2024,ongoing,senate,
16,Emerson,1/15/2024,1315,2.6,40,42,Texas,senate,2024,ongoing,senate,
17,University of Texas,12/10/2023,1200,2.4,27,43,Texas,senate,2024,ongoing,senate,
0,Cascade PBS/Elway,5/16/2024,403,5,39,30,Washington,senate,2024,ongoing,senate,
1,Cascade PBS/Elway,11/3/2024,403,5,43,23,Washington,senate,2024,ongoing,senate,
1,NY Times/Siena,8/8/2024,661,,51,44,Wisconsin,senate,2024,ongoing,senate,
2,Marquette,8/1/2024,801,4.8,52,47,Wisconsin,senate,2024,ongoing,senate,
3,FOX News,7/24/2024,1046,3,54,43,Wisconsin,senate,2024,ongoing,senate,
4,The Hill/Emerson,7/23/2024,845,3.3,49,43,Wisconsin,senate,2024,ongoing,senate,
5,PPP (D),7/11/2024,548,,51,43,Wisconsin,senate,2024,ongoing,senate,
6,Rasmussen Reports,7/12/2024,1020,3,47,43,Wisconsin,senate,2024,ongoing,senate,
7,The Times/SAY,7/12/2024,900,4.1,50,43,Wisconsin,senate,2024,ongoing,senate,
8,AmGreatness/NSOR,7/10/2024,600,4,49,41,Wisconsin,senate,2024,ongoing,senate,
9,Remington Research (R),7/1/2024,539,4,48,48,Wisconsin,senate,2024,ongoing,senate,
10,Fabrizio/Anzalone,7/2/2024,600,4,50,45,Wisconsin,senate,2024,ongoing,senate,
22,Marquette,6/20/2024,871,4.6,45,38,Wisconsin,senate,2024,ongoing,senate,
23,The Hill/Emerson,6/18/2024,1000,3,46,44,Wisconsin,senate,2024,ongoing,senate,
24,Cook Political Report,5/13/2024,503,4.4,49,37,Wisconsin,senate,2024,ongoing,senate,
25,Quinnipiac,5/6/2024,1457,2.6,54,42,Wisconsin,senate,2024,ongoing,senate,
26,NY Times/Siena,5/9/2024,614,4.5,49,42,Wisconsin,senate,2024,ongoing,senate,
27,The Hill/Emerson,4/29/2024,1000,3,46,43,Wisconsin,senate,2024,ongoing,senate,
28,CBS News,4/25/2024,1245,3.2,48,41,Wisconsin,senate,2024,ongoing,senate,
29,Marquette,4/10/2024,814,4.8,52,47,Wisconsin,senate,2024,ongoing,senate,
30,The Hill/Emerson,3/18/2024,1000,3,45,42,Wisconsin,senate,2024,ongoing,senate,
31,The Hill/Emerson,2/24/2024,1000,3,46,39,Wisconsin,senate,2024,ongoing,senate,
1,Quinnipiac,7/21/2024,1257,2.8,45,48,national,national_Biden,2024,ongoing,national_Biden,0
2,Forbes/HarrisX,7/21/2024,2753,1.9,47,53,national,national_Biden,2024,ongoing,national_Biden,1
3,CBS News,7/18/2024,2247,2.7,47,52,national,national_Biden,2024,ongoing,national_Biden,2
4,Emerson,7/16/2024,2000,2.1,42,46,national,national_Biden,2024,ongoing,national_Biden,3
5,Morning Consult,7/17/2024,9414,1,42,46,national,national_Biden,2024,ongoing,national_Biden,4
6,Reuters/Ipsos,7/16/2024,992,3.3,41,43,national,national_Biden,2024,ongoing,national_Biden,5
7,NPR/PBS/Marist,7/10/2024,1174,3.3,50,48,national,national_Biden,2024,ongoing,national_Biden,6
8,Rasmussen Reports,7/11/2024,1847,2,43,49,national,national_Biden,2024,ongoing,national_Biden,7
9,FOX News,7/10/2024,1210,3,48,49,national,national_Biden,2024,ongoing,national_Biden,8
