index,pollster,date,sampleSize,marginError,dvalue,rvalue,state,type,year,winner,Type,level_0
1,The Hill/Emerson,7/23/2024,800.0,3.4,46.0,42.0,Arizona,senate,2024,ongoing,senate,
2,Rasmussen Reports,7/12/2024,1101.0,3.0,44.0,41.0,Arizona,senate,2024,ongoing,senate,
3,PPP (D),7/11/2024,596.0,,50.0,47.0,Arizona,senate,2024,ongoing,senate,
4,The Times/SAY,7/12/2024,900.0,3.9,48.0,41.0,Arizona,senate,2024,ongoing,senate,
5,Remington Research (R),7/1/2024,,4.0,47.0,47.0,Arizona,senate,2024,ongoing,senate,
12,AmGreatness/NSOR*,6/20/2024,600.0,4.0,39.0,38.0,Arizona,senate,2024,ongoing,senate,
13,The Hill/Emerson,6/18/2024,1000.0,3.0,45.0,41.0,Arizona,senate,2024,ongoing,senate,
14,Rasmussen Reports,6/13/2024,750.0,4.0,44.0,41.0,Arizona,senate,2024,ongoing,senate,
15,Fabrizio/Anzalone,6/4/2024,600.0,4.0,48.0,45.0,Arizona,senate,2024,ongoing,senate,
16,CBS News,5/16/2024,1193.0,3.6,49.0,36.0,Arizona,senate,2024,ongoing,senate,
17,Noble Predictive Insights,5/14/2024,1003.0,3.1,46.0,36.0,Arizona,senate,2024,ongoing,senate,
18,Cook Political Report,5/13/2024,527.0,4.3,46.0,41.0,Arizona,senate,2024,ongoing,senate,
19,NY Times/Siena,5/9/2024,626.0,4.2,46.0,43.0,Arizona,senate,2024,ongoing,senate,
20,The Hill/Emerson,4/29/2024,1000.0,3.0,45.0,43.0,Arizona,senate,2024,ongoing,senate,
21,The Hill/Emerson,3/15/2024,1000.0,3.0,51.0,49.0,Arizona,senate,2024,ongoing,senate,
22,The Hill/Emerson,2/19/2024,1000.0,3.0,46.0,39.0,Arizona,senate,2024,ongoing,senate,
23,Noble Predictive Insights,2/13/2024,1002.0,3.1,47.0,37.0,Arizona,senate,2024,ongoing,senate,
24,Noble Predictive Insights,7/17/2023,1000.0,3.1,45.0,35.0,Arizona,senate,2024,ongoing,senate,
25,OH Predictive Insights,2/9/2023,1000.0,3.1,43.0,33.0,Arizona,senate,2024,ongoing,senate,
1,PPIC,7/2/2024,1261.0,3.7,64.0,33.0,California,senate,2024,ongoing,senate,
2,LA Times/Berkeley IGS,2/27/2024,6534.0,2.0,53.0,38.0,California,senate,2024,ongoing,senate,
5,PPIC,6/2/2023,1098.0,3.7,62.0,37.0,California,senate,2024,ongoing,senate,
6,PPIC,3/25/2023,1089.0,3.9,61.0,37.0,California,senate,2024,ongoing,senate,
1,Univ. of North Florida,7/27/2024,774.0,4.6,43.0,47.0,Florida,senate,2024,ongoing,senate,
2,Florida Atlantic University,6/9/2024,777.0,3.6,43.0,45.0,Florida,senate,2024,ongoing,senate,
3,CBS News,5/16/2024,1181.0,3.6,37.0,45.0,Florida,senate,2024,ongoing,senate,
4,Emerson,4/10/2024,1000.0,3.0,38.0,45.0,Florida,senate,2024,ongoing,senate,
9,Florida Atlantic University,4/17/2024,865.0,3.3,35.0,52.0,Florida,senate,2024,ongoing,senate,
1,PPP (D),6/20/2024,635.0,3.9,48.0,40.0,Maryland,senate,2024,ongoing,senate,
2,The Hill/Emerson,5/8/2024,1115.0,2.9,48.0,38.0,Maryland,senate,2024,ongoing,senate,
4,The Hill/Emerson,5/8/2024,1115.0,2.9,49.0,38.0,Maryland,senate,2024,ongoing,senate,
5,Baltimore Sun,4/10/2024,1292.0,3.0,40.0,53.0,Maryland,senate,2024,ongoing,senate,
6,Goucher College,3/24/2024,800.0,3.5,42.0,43.0,Maryland,senate,2024,ongoing,senate,
7,Wash Post/Univ. of Maryland,3/12/2024,1004.0,3.3,37.0,49.0,Maryland,senate,2024,ongoing,senate,
0,The Hill/Emerson,3/18/2024,1000.0,3.0,43.0,35.0,Michigan,senate,2024,ongoing,senate,
2,NY Times/Siena,8/8/2024,619.0,,46.0,43.0,Michigan,senate,2024,ongoing,senate,
3,FOX News,7/24/2024,1012.0,3.0,51.0,46.0,Michigan,senate,2024,ongoing,senate,
4,The Hill/Emerson,7/23/2024,800.0,3.4,45.0,41.0,Michigan,senate,2024,ongoing,senate,
5,Rasmussen Reports,7/12/2024,1025.0,3.0,43.0,40.0,Michigan,senate,2024,ongoing,senate,
6,PPP (D),7/11/2024,568.0,,45.0,35.0,Michigan,senate,2024,ongoing,senate,
7,The Times/SAY,7/12/2024,1000.0,3.6,48.0,39.0,Michigan,senate,2024,ongoing,senate,
8,Remington Research (R),7/1/2024,584.0,4.0,47.0,43.0,Michigan,senate,2024,ongoing,senate,
10,The Hill/Emerson,3/18/2024,1000.0,3.0,42.0,34.0,Michigan,senate,2024,ongoing,senate,
11,Detroit News/Glengariff,1/6/2024,600.0,4.0,36.0,36.0,Michigan,senate,2024,ongoing,senate,
1,The Hill/Emerson,6/18/2024,1000.0,3.0,47.0,37.0,Minnesota,senate,2024,ongoing,senate,
2,KSTP/SurveyUSA,6/16/2024,626.0,4.5,49.0,36.0,Minnesota,senate,2024,ongoing,senate,
6,KSTP/SurveyUSA,5/11/2024,625.0,4.3,48.0,34.0,Minnesota,senate,2024,ongoing,senate,
7,KSTP/SurveyUSA,4/7/2024,608.0,4.9,51.0,34.0,Minnesota,senate,2024,ongoing,senate,
8,KSTP/SurveyUSA,2/28/2024,1603.0,3.0,49.0,33.0,Minnesota,senate,2024,ongoing,senate,
0,The Hill/Emerson,6/19/2024,1000.0,3.0,38.0,47.0,Missouri,senate,2024,ongoing,senate,
1,Missouri Scout,3/8/2024,713.0,,39.0,53.0,Missouri,senate,2024,ongoing,senate,
2,Emerson,1/28/2024,1777.0,2.2,30.0,43.0,Missouri,senate,2024,ongoing,senate,
