pollster,date,sampleSize,dvalue,rvalue,year,winner,type,Type
NBC News/Wall St. Jrnl,11/1/2014,826,48,48,2014,R,congressional,congressional
Rasmussen Reports,11/2/2014,3500,41,44,2014,R,congressional,congressional
FOX News,10/27/2014,734,45,44,2014,R,congressional,congressional
CBS News,10/27/2014,624,42,50,2014,R,congressional,congressional
CNN/Opinion Research,10/26/2014,540,47,46,2014,R,congressional,congressional
ABC News/Wash Post,10/26/2014,758,44,50,2014,R,congressional,congressional
USA Today/PSRAI,10/26/2014,697,43,42,2014,R,congressional,congressional
Rasmussen Reports,10/26/2014,3500,41,43,2014,R,congressional,congressional
Associated Press/GfK,10/20/2014,968,32,40,2014,R,congressional,congressional
Pew Research,10/20/2014,1126,47,46,2014,R,congressional,congressional
Rasmussen Reports,10/19/2014,3500,41,41,2014,R,congressional,congressional
FOX News,10/14/2014,831,42,45,2014,R,congressional,congressional
ABC News/Wash Post,10/12/2014,629,43,50,2014,R,congressional,congressional
NBC News/Wall St. Jrnl,10/12/2014,666,47,48,2014,R,congressional,congressional
Rasmussen Reports,10/12/2014,3500,40,40,2014,R,congressional,congressional
CBS News,10/6/2014,575,43,49,2014,R,congressional,congressional
Rasmussen Reports,10/5/2014,3500,41,39,2014,R,congressional,congressional
FOX News,9/30/2014,845,40,47,2014,R,congressional,congressional
Gallup,9/30/2014,1095,46,47,2014,R,congressional,congressional
McClatchy/Marist,9/29/2014,884,45,44,2014,R,congressional,congressional
CNN/Opinion Research,9/28/2014,701,47,45,2014,R,congressional,congressional
Rasmussen Reports,9/28/2014,3500,40,39,2014,R,congressional,congressional
Rasmussen Reports,9/21/2014,3500,40,40,2014,R,congressional,congressional
CBS News/NY Times,9/15/2014,470,42,49,2014,R,congressional,congressional
Rasmussen Reports,9/14/2014,3500,41,38,2014,R,congressional,congressional
FOX News,9/9/2014,833,40,47,2014,R,congressional,congressional
CNN/Opinion Research,9/7/2014,,45,49,2014,R,congressional,congressional
ABC News/Wash Post,9/7/2014,,44,47,2014,R,congressional,congressional
Pew Research,9/9/2014,1150,44,47,2014,R,congressional,congressional
Rasmussen Reports,9/7/2014,3500,39,41,2014,R,congressional,congressional
GWU/Battleground,8/28/2014,1000,42,46,2014,R,congressional,congressional
Rasmussen Reports,8/31/2014,3500,40,41,2014,R,congressional,congressional
USA Today/Pew Research,8/24/2014,1171,47,42,2014,R,congressional,congressional
Rasmussen Reports,8/24/2014,3500,39,40,2014,R,congressional,congressional
Rasmussen Reports,8/17/2014,3500,39,39,2014,R,congressional,congressional
FOX News,8/12/2014,1001,46,39,2014,R,congressional,congressional
Gallup,8/10/2014,,47,45,2014,R,congressional,congressional
Reason-Rupe/PSRAI,8/10/2014,,42,41,2014,R,congressional,congressional
McClatchy/Marist,8/7/2014,806,38,43,2014,R,congressional,congressional
Rasmussen Reports,8/10/2014,3500,39,40,2014,R,congressional,congressional
CBS News,8/4/2014,,41,37,2014,R,congressional,congressional
Rasmussen Reports,8/3/2014,3500,38,42,2014,R,congressional,congressional
FOX News,7/22/2014,1057,43,41,2014,R,congressional,congressional
Rasmussen Reports,7/27/2014,3500,41,39,2014,R,congressional,congressional
CNN/Opinion Research,7/20/2014,899,48,44,2014,R,congressional,congressional
Pew Research,7/14/2014,1420,47,45,2014,R,congressional,congressional
Rasmussen Reports,7/20/2014,3500,39,39,2014,R,congressional,congressional
Rasmussen Reports,7/13/2014,3500,39,38,2014,R,congressional,congressional
Quinnipiac,6/30/2014,1446,41,39,2014,R,congressional,congressional
Rasmussen Reports,7/6/2014,3500,41,38,2014,R,congressional,congressional
Rasmussen Reports,6/29/2014,3500,40,38,2014,R,congressional,congressional
FOX News,6/23/2014,1018,42,42,2014,R,congressional,congressional
CBS News/NY Times,6/22/2014,,42,39,2014,R,congressional,congressional
Rasmussen Reports,6/22/2014,3500,40,38,2014,R,congressional,congressional
Rasmussen Reports,6/15/2014,3500,39,37,2014,R,congressional,congressional
Bloomberg,6/9/2014,763,43,43,2014,R,congressional,congressional
Rasmussen Reports,6/8/2014,3500,41,37,2014,R,congressional,congressional
FOX News,6/3/2014,1006,39,43,2014,R,congressional,congressional
ABC News/Wash Post,6/1/2014,,47,45,2014,R,congressional,congressional
Rasmussen Reports,6/1/2014,3500,41,38,2014,R,congressional,congressional
Rasmussen Reports,5/25/2014,3500,42,38,2014,R,congressional,congressional
CBS News,5/19/2014,,40,39,2014,R,congressional,congressional
Rasmussen Reports,5/18/2014,3500,41,37,2014,R,congressional,congressional
FOX News,5/13/2014,1025,43,40,2014,R,congressional,congressional
Rasmussen Reports,5/11/2014,3500,40,38,2014,R,congressional,congressional
CNN/Opinion Research,5/4/2014,911,45,46,2014,R,congressional,congressional
Rasmussen Reports,5/4/2014,3500,41,37,2014,R,congressional,congressional
Gallup,4/30/2014,,49,44,2014,R,congressional,congressional
ABC News/Wash Post,4/27/2014,855,45,44,2014,R,congressional,congressional
USA Today/Pew Research,4/27/2014,1162,43,47,2014,R,congressional,congressional
Rasmussen Reports,4/27/2014,3500,38,40,2014,R,congressional,congressional
Rasmussen Reports,4/20/2014,3500,40,41,2014,R,congressional,congressional
FOX News,4/15/2014,1012,41,44,2014,R,congressional,congressional
Rasmussen Reports,4/13/2014,3500,40,38,2014,R,congressional,congressional
McClatchy/Marist,4/10/2014,1036,48,42,2014,R,congressional,congressional
Rasmussen Reports,4/6/2014,3500,40,39,2014,R,congressional,congressional
Quinnipiac,3/31/2014,1578,40,38,2014,R,congressional,congressional
Reason-Rupe/PSRAI,3/30/2014,1003,40,36,2014,R,congressional,congressional
Rasmussen Reports,3/30/2014,3500,39,38,2014,R,congressional,congressional
CBS News,3/23/2014,,39,39,2014,R,congressional,congressional
NPR/GQR/Resurgent,3/23/2014,840,44,43,2014,R,congressional,congressional
GWU/Battleground,3/20/2014,1000,43,43,2014,R,congressional,congressional
Rasmussen Reports,3/23/2014,3500,41,37,2014,R,congressional,congressional
Rasmussen Reports,3/16/2014,3500,38,39,2014,R,congressional,congressional
PPP (D),3/9/2014,1152,43,40,2014,R,congressional,congressional
Rasmussen Reports,3/9/2014,3500,39,39,2014,R,congressional,congressional
FOX News,3/4/2014,1002,40,38,2014,R,congressional,congressional
ABC News/Wash Post,3/2/2014,,46,45,2014,R,congressional,congressional
Rasmussen Reports,3/2/2014,3500,39,36,2014,R,congressional,congressional
CBS News/NY Times,2/23/2014,,39,42,2014,R,congressional,congressional
Rasmussen Reports,2/23/2014,3500,41,37,2014,R,congressional,congressional
Rasmussen Reports,2/16/2014,3500,41,37,2014,R,congressional,congressional
McClatchy/Marist,2/9/2014,970,46,44,2014,R,congressional,congressional
Rasmussen Reports,2/9/2014,3500,40,38,2014,R,congressional,congressional
Rasmussen Reports,2/2/2014,3500,39,40,2014,R,congressional,congressional
PPP (D),1/26/2014,845,40,42,2014,R,congressional,congressional
