pollster,date,sampleSize,marginError,dvalue,rvalue,Year,Type,state
rcp_average,2020-11-02 00:00:00,,,51.2,44.0,2020,National Presidential,
Economist/YouGov,2020-11-02 00:00:00,1363.0,3.3,53.0,43.0,2020,National Presidential,
IBD/TIPP*,2020-11-02 00:00:00,1212.0,3.2,50.0,46.0,2020,National Presidential,
Reuters/Ipsos,2020-11-02 00:00:00,914.0,3.7,52.0,45.0,2020,National Presidential,
CNBC/Change Research (D),2020-11-01 00:00:00,1880.0,2.3,52.0,42.0,2020,National Presidential,
Rasmussen Reports,2020-11-01 00:00:00,1500.0,2.5,48.0,47.0,2020,National Presidential,
Quinnipiac,2020-11-01 00:00:00,1516.0,2.5,50.0,39.0,2020,National Presidential,
JTN/RMG Research*,2020-10-31 00:00:00,1200.0,2.8,51.0,44.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-10-31 00:00:00,,3.4,52.0,42.0,2020,National Presidential,
SurveyUSA,2020-10-31 00:00:00,1265.0,3.2,52.0,44.0,2020,National Presidential,
FOX News,2020-10-29 00:00:00,1246.0,2.5,52.0,44.0,2020,National Presidential,
Harvard-Harris,2020-10-28 00:00:00,,,54.0,46.0,2020,National Presidential,
The Hill/HarrisX,2020-10-28 00:00:00,2359.0,2.0,49.0,45.0,2020,National Presidential,
Emerson,2020-10-26 00:00:00,1121.0,2.8,50.0,45.0,2020,National Presidential,
Economist/YouGov,2020-10-27 00:00:00,1365.0,3.2,54.0,43.0,2020,National Presidential,
Reuters/Ipsos,2020-10-27 00:00:00,825.0,3.9,52.0,42.0,2020,National Presidential,
USA Today/Suffolk,2020-10-27 00:00:00,1000.0,3.1,52.0,44.0,2020,National Presidential,
CNN,2020-10-26 00:00:00,886.0,3.8,54.0,42.0,2020,National Presidential,
USC Dornsife,2020-11-02 00:00:00,5423.0,,54.0,43.0,2020,National Presidential,
JTN/RMG Research*,2020-10-24 00:00:00,1842.0,2.8,51.0,44.0,2020,National Presidential,
CNBC,2020-10-24 00:00:00,,3.5,51.0,40.0,2020,National Presidential,
Economist/YouGov,2020-10-20 00:00:00,1344.0,3.2,52.0,43.0,2020,National Presidential,
Reuters/Ipsos,2020-10-20 00:00:00,949.0,3.6,51.0,42.0,2020,National Presidential,
Quinnipiac,2020-10-19 00:00:00,1426.0,2.6,51.0,41.0,2020,National Presidential,
Rasmussen Reports,2020-10-20 00:00:00,2500.0,2.0,49.0,46.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-10-18 00:00:00,2711.0,1.9,52.0,42.0,2020,National Presidential,
SurveyUSA,2020-10-19 00:00:00,1136.0,3.6,53.0,43.0,2020,National Presidential,
NY Times/Siena*,2020-10-18 00:00:00,987.0,3.4,50.0,41.0,2020,National Presidential,
JTN/RMG Research*,2020-10-17 00:00:00,1265.0,2.8,51.0,43.0,2020,National Presidential,
The Hill/HarrisX,2020-10-15 00:00:00,,2.3,46.0,42.0,2020,National Presidential,
Economist/YouGov,2020-10-13 00:00:00,1333.0,4.3,52.0,42.0,2020,National Presidential,
The Hill/HarrisX,2020-10-13 00:00:00,,1.8,47.0,40.0,2020,National Presidential,
Reuters/Ipsos,2020-10-13 00:00:00,882.0,3.8,51.0,41.0,2020,National Presidential,
IBD/TIPP,2020-10-15 00:00:00,951.0,3.2,49.0,43.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-10-12 00:00:00,,3.1,53.0,42.0,2020,National Presidential,
NPR/PBS/Marist,2020-10-13 00:00:00,819.0,3.9,54.0,43.0,2020,National Presidential,
Rasmussen Reports,2020-10-13 00:00:00,2500.0,2.0,50.0,45.0,2020,National Presidential,
JTN/RMG Research*,2020-10-10 00:00:00,1240.0,2.8,51.0,43.0,2020,National Presidential,
ABC News/Wash Post,2020-10-09 00:00:00,725.0,4.0,55.0,43.0,2020,National Presidential,
Economist/YouGov,2020-10-06 00:00:00,1364.0,4.8,51.0,42.0,2020,National Presidential,
The Hill/HarrisX,2020-10-06 00:00:00,,1.8,45.0,40.0,2020,National Presidential,
FOX News,2020-10-06 00:00:00,1012.0,3.0,53.0,43.0,2020,National Presidential,
Reuters/Ipsos,2020-10-06 00:00:00,882.0,3.8,52.0,40.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-10-04 00:00:00,2167.0,2.1,52.0,42.0,2020,National Presidential,
Rasmussen Reports,2020-10-06 00:00:00,2500.0,2.0,52.0,40.0,2020,National Presidential,
SurveyUSA,2020-10-04 00:00:00,1114.0,3.6,53.0,43.0,2020,National Presidential,
CNN,2020-10-04 00:00:00,1001.0,3.6,57.0,41.0,2020,National Presidential,
JTN/RMG Research*,2020-10-03 00:00:00,763.0,3.5,51.0,43.0,2020,National Presidential,
The Hill/HarrisX,2020-10-01 00:00:00,,3.2,47.0,40.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-10-01 00:00:00,,3.5,53.0,39.0,2020,National Presidential,
IBD/TIPP,2020-10-01 00:00:00,1030.0,3.5,49.0,46.0,2020,National Presidential,
CNBC/Change Research (D),2020-09-30 00:00:00,925.0,3.2,54.0,41.0,2020,National Presidential,
Economist/YouGov,2020-09-30 00:00:00,1350.0,4.0,50.0,42.0,2020,National Presidential,
Reuters/Ipsos,2020-09-29 00:00:00,864.0,3.8,51.0,42.0,2020,National Presidential,
Rasmussen Reports,2020-09-29 00:00:00,3000.0,2.0,51.0,43.0,2020,National Presidential,
Monmouth*,2020-09-27 00:00:00,809.0,3.5,50.0,45.0,2020,National Presidential,
JTN/RMG Research*,2020-09-26 00:00:00,752.0,3.6,51.0,45.0,2020,National Presidential,
The Hill/HarrisX,2020-09-25 00:00:00,,1.9,45.0,40.0,2020,National Presidential,
NY Times/Siena,2020-09-24 00:00:00,950.0,3.5,49.0,41.0,2020,National Presidential,
Harvard-Harris,2020-09-24 00:00:00,,,47.0,45.0,2020,National Presidential,
Emerson,2020-09-23 00:00:00,1000.0,3.0,48.0,44.0,2020,National Presidential,
ABC News/Wash Post,2020-09-24 00:00:00,739.0,4.0,54.0,44.0,2020,National Presidential,
Economist/YouGov,2020-09-22 00:00:00,1124.0,3.6,49.0,42.0,2020,National Presidential,
The Hill/HarrisX,2020-09-21 00:00:00,,1.9,45.0,40.0,2020,National Presidential,
Reuters/Ipsos,2020-09-22 00:00:00,889.0,3.7,50.0,42.0,2020,National Presidential,
Rasmussen Reports,2020-09-22 00:00:00,3000.0,2.5,48.0,47.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-09-20 00:00:00,1430.0,2.6,51.0,42.0,2020,National Presidential,
Quinnipiac,2020-09-21 00:00:00,1302.0,2.7,52.0,42.0,2020,National Presidential,
JTN/RMG Research*,2020-09-19 00:00:00,773.0,2.8,50.0,44.0,2020,National Presidential,
IBD/TIPP,2020-09-19 00:00:00,962.0,3.3,50.0,44.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-09-16 00:00:00,,3.1,51.0,43.0,2020,National Presidential,
Economist/YouGov,2020-09-15 00:00:00,1062.0,3.8,51.0,42.0,2020,National Presidential,
NPR/PBS/Marist,2020-09-16 00:00:00,723.0,4.3,52.0,43.0,2020,National Presidential,
Rasmussen Reports,2020-09-15 00:00:00,2500.0,2.0,46.0,47.0,2020,National Presidential,
Reuters/Ipsos,2020-09-15 00:00:00,859.0,3.8,50.0,41.0,2020,National Presidential,
The Hill/HarrisX,2020-09-14 00:00:00,,1.6,45.0,39.0,2020,National Presidential,
JTN/RMG Research*,2020-09-12 00:00:00,941.0,2.8,48.0,43.0,2020,National Presidential,
FOX News,2020-09-10 00:00:00,1191.0,2.5,51.0,46.0,2020,National Presidential,
Economist/YouGov,2020-09-08 00:00:00,1057.0,3.8,52.0,43.0,2020,National Presidential,
USC Dornsife,2020-09-13 00:00:00,2648.0,,52.0,42.0,2020,National Presidential,
The Hill/HarrisX,2020-09-08 00:00:00,,1.8,47.0,39.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-09-06 00:00:00,1902.0,2.3,49.0,43.0,2020,National Presidential,
Monmouth*,2020-09-08 00:00:00,758.0,3.6,51.0,44.0,2020,National Presidential,
Reuters/Ipsos,2020-09-08 00:00:00,823.0,3.9,52.0,40.0,2020,National Presidential,
Rasmussen Reports,2020-09-08 00:00:00,2500.0,2.0,48.0,46.0,2020,National Presidential,
CBS News/YouGov,2020-09-04 00:00:00,2433.0,,52.0,42.0,2020,National Presidential,
USC Dornsife,2020-09-06 00:00:00,2588.0,,52.0,42.0,2020,National Presidential,
Harvard-Harris,2020-09-02 00:00:00,,,53.0,47.0,2020,National Presidential,
Economist/YouGov,2020-09-01 00:00:00,,3.6,51.0,40.0,2020,National Presidential,
IBD/TIPP,2020-09-01 00:00:00,,,49.0,41.0,2020,National Presidential,
CNN,2020-09-01 00:00:00,,4.0,51.0,43.0,2020,National Presidential,
Emerson,2020-08-31 00:00:00,1567.0,2.4,49.0,47.0,2020,National Presidential,
Reuters/Ipsos,2020-09-01 00:00:00,,3.4,47.0,40.0,2020,National Presidential,
The Hill/HarrisX,2020-08-31 00:00:00,,1.8,46.0,40.0,2020,National Presidential,
USA Today/Suffolk,2020-08-31 00:00:00,,3.1,50.0,43.0,2020,National Presidential,
Quinnipiac,2020-08-31 00:00:00,1081.0,3.0,52.0,42.0,2020,National Presidential,
Rasmussen Reports,2020-09-01 00:00:00,2500.0,2.0,49.0,45.0,2020,National Presidential,
Grinnell/Selzer,2020-08-30 00:00:00,827.0,3.4,49.0,41.0,2020,National Presidential,
The Hill/HarrisX,2020-08-28 00:00:00,,1.8,47.0,38.0,2020,National Presidential,
Economist/YouGov,2020-08-25 00:00:00,,3.8,50.0,41.0,2020,National Presidential,
The Hill/HarrisX,2020-08-25 00:00:00,,1.8,47.0,38.0,2020,National Presidential,
Rasmussen Reports,2020-08-25 00:00:00,2500.0,2.0,46.0,45.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-08-23 00:00:00,2362.0,2.0,51.0,43.0,2020,National Presidential,
CBS News/YouGov,2020-08-22 00:00:00,934.0,3.7,52.0,42.0,2020,National Presidential,
Economist/YouGov,2020-08-18 00:00:00,,3.4,50.0,40.0,2020,National Presidential,
The Hill/HarrisX,2020-08-18 00:00:00,,1.8,46.0,38.0,2020,National Presidential,
Rasmussen Reports,2020-08-18 00:00:00,2500.0,2.0,48.0,44.0,2020,National Presidential,
The Hill/HarrisX,2020-08-14 00:00:00,,1.8,45.0,39.0,2020,National Presidential,
CNN,2020-08-15 00:00:00,,4.0,50.0,46.0,2020,National Presidential,
ABC News/Wash Post,2020-08-15 00:00:00,707.0,,54.0,44.0,2020,National Presidential,
CBS News/YouGov,2020-08-14 00:00:00,2152.0,2.4,52.0,42.0,2020,National Presidential,
NBC News/Wall St. Jrnl,2020-08-12 00:00:00,,3.3,50.0,41.0,2020,National Presidential,
FOX News,2020-08-12 00:00:00,,3.0,49.0,42.0,2020,National Presidential,
Economist/YouGov,2020-08-11 00:00:00,,3.6,49.0,39.0,2020,National Presidential,
The Hill/HarrisX,2020-08-11 00:00:00,,1.8,44.0,40.0,2020,National Presidential,
CNBC/Change Research (D)*,2020-08-09 00:00:00,2143.0,2.1,50.0,44.0,2020,National Presidential,
Monmouth*,2020-08-10 00:00:00,,3.5,51.0,41.0,2020,National Presidential,
Rasmussen Reports,2020-08-11 00:00:00,2500.0,2.0,49.0,43.0,2020,National Presidential,
NPR/PBS/Marist,2020-08-11 00:00:00,,3.6,53.0,42.0,2020,National Presidential,
The Hill/HarrisX,2020-08-05 00:00:00,,1.8,43.0,40.0,2020,National Presidential,
GU Politics/Battleground,2020-08-06 00:00:00,1000.0,3.1,53.0,40.0,2020,National Presidential,
Economist/YouGov,2020-08-04 00:00:00,,3.3,49.0,40.0,2020,National Presidential,
