pollster,date,sampleSize,marginError,dvalue,rvalue,state,Year,Type
rcp_average,2014-10-23,,,28.5,59.0,Alabama,2014,Governor
CBS News/NYT/YouGov,2014-10-23,661.0,6.0,25.0,63.0,Alabama,2014,Governor
Rasmussen Reports,2014-06-10,750.0,4.0,32.0,55.0,Alabama,2014,Governor
CBS News/NYT/YouGov,2014-10-01,692.0,4.0,28.0,65.0,Alabama,2014,Governor
CBS News/NYT/YouGov,2014-09-02,741.0,5.0,28.0,62.0,Alabama,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,31.0,59.0,Alabama,2014,Governor
rcp_average,,,,28.5,59.0,Alabama,2014,Governor
rcp_average,2014-10-23,,,41.0,48.5,Arizona,2014,Governor
CBS News/NYT/YouGov,2014-10-23,2621.0,4.0,40.0,50.0,Arizona,2014,Governor
Rasmussen Reports,2014-10-16,1056.0,3.0,42.0,47.0,Arizona,2014,Governor
CBS News/NYT/YouGov,2014-10-01,2808.0,3.0,39.0,50.0,Arizona,2014,Governor
CBS News/NYT/YouGov,2014-09-02,3289.0,3.0,38.0,39.0,Arizona,2014,Governor
Rasmussen Reports,2014-08-28,850.0,3.0,40.0,40.0,Arizona,2014,Governor
PPP (D),2014-03-02,,3.3,36.0,35.0,Arizona,2014,Governor
Behavior Research Center,2014-01-26,,3.8,23.0,21.0,Arizona,2014,Governor
Susquehanna,2014-12-04,,4.0,33.0,36.0,Arizona,2014,Governor
rcp_average,,,,41.0,48.5,Arizona,2014,Governor
rcp_average,2014-11-01,,,41.0,49.0,Arkansas,2014,Governor
PPP (D)*,2014-11-01,1092.0,3.0,41.0,51.0,Arkansas,2014,Governor
The Arkansas Poll,2014-10-27,568.0,4.1,39.0,50.0,Arkansas,2014,Governor
Rasmussen Reports,2014-10-29,967.0,3.0,43.0,50.0,Arkansas,2014,Governor
NBC News/Marist*,2014-10-23,621.0,3.9,44.0,47.0,Arkansas,2014,Governor
CBS News/NYT/YouGov,2014-10-23,1567.0,4.0,38.0,47.0,Arkansas,2014,Governor
Talk Business Poll*,2014-10-16,2075.0,2.2,41.0,49.0,Arkansas,2014,Governor
Rasmussen Reports,2014-10-15,940.0,3.0,47.0,49.0,Arkansas,2014,Governor
FOX News*,2014-10-07,707.0,3.5,37.0,46.0,Arkansas,2014,Governor
CBS News/NYT/YouGov,2014-10-01,1991.0,2.0,38.0,49.0,Arkansas,2014,Governor
Rasmussen Reports,2014-09-25,750.0,4.0,42.0,46.0,Arkansas,2014,Governor
USA Today/Suffolk*,2014-09-23,500.0,4.4,41.0,43.0,Arkansas,2014,Governor
PPP (D),2014-09-21,1453.0,2.6,40.0,46.0,Arkansas,2014,Governor
NBC News/Marist*,2014-09-04,639.0,3.9,39.0,48.0,Arkansas,2014,Governor
CBS News/NYT/YouGov,2014-09-02,1572.0,3.0,38.0,45.0,Arkansas,2014,Governor
Rasmussen Reports,2014-08-26,750.0,4.0,46.0,44.0,Arkansas,2014,Governor
PPP (D),2014-08-03,,3.0,40.0,46.0,Arkansas,2014,Governor
Talk Business Poll*,2014-07-25,1780.0,2.3,41.0,46.0,Arkansas,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,45.0,48.0,Arkansas,2014,Governor
Rasmussen Reports,2014-05-28,750.0,4.0,41.0,48.0,Arkansas,2014,Governor
NBC News/Marist,2014-05-04,,3.3,42.0,49.0,Arkansas,2014,Governor
PPP (D),2014-04-27,,3.4,38.0,46.0,Arkansas,2014,Governor
NY Times/Kaiser,2014-04-15,,4.0,40.0,41.0,Arkansas,2014,Governor
Talk Business Poll*,2014-04-04,1068.0,3.0,44.0,43.0,Arkansas,2014,Governor
Opinion Research Associates,2014-04-08,,5.0,45.0,39.0,Arkansas,2014,Governor
Impact Management Group (R),2014-02-10,,2.8,42.0,42.0,Arkansas,2014,Governor
Rasmussen Reports,2014-02-05,500.0,4.5,44.0,41.0,Arkansas,2014,Governor
Impact Management Group (R),2014-10-24,,3.2,37.0,40.0,Arkansas,2014,Governor
The Arkansas Poll,2014-10-17,,,31.0,35.0,Arkansas,2014,Governor
Talk Business Poll,2014-10-08,603.0,4.0,37.0,41.0,Arkansas,2014,Governor
Harper (R),2014-08-05,587.0,4.0,38.0,46.0,Arkansas,2014,Governor
Talk Business Poll,2014-02-20,,3.8,38.0,43.0,Arkansas,2014,Governor
rcp_average,,,,41.0,49.0,Arkansas,2014,Governor
rcp_average,2014-10-29,,,54.3,35.8,California,2014,Governor
LA Times/USC,2014-10-29,1162.0,3.3,56.0,37.0,California,2014,Governor
Field,2014-10-28,941.0,3.4,54.0,33.0,California,2014,Governor
CBS News/NYT/YouGov,2014-10-23,7463.0,2.0,55.0,37.0,California,2014,Governor
PPIC,2014-10-19,976.0,4.6,52.0,36.0,California,2014,Governor
CBS News/NYT/YouGov,2014-10-01,7943.0,2.0,56.0,36.0,California,2014,Governor
PPIC,2014-09-15,916.0,4.9,54.0,33.0,California,2014,Governor
LA Times/USC,2014-09-08,1089.0,3.3,57.0,36.0,California,2014,Governor
CBS News/NYT/YouGov,2014-09-02,8941.0,2.0,53.0,35.0,California,2014,Governor
Field,2014-08-28,467.0,4.8,50.0,34.0,California,2014,Governor
CBS News/NYT/YouGov,2014-07-24,,,57.0,33.0,California,2014,Governor
PPIC,2014-07-15,984.0,4.7,52.0,33.0,California,2014,Governor
Field,2014-06-22,982.0,3.2,52.0,32.0,California,2014,Governor
Rasmussen Reports,2014-06-05,823.0,4.0,52.0,33.0,California,2014,Governor
LA Times/USC,2014-05-28,626.0,,53.0,35.0,California,2014,Governor
rcp_average,,,,54.3,35.8,California,2014,Governor
