pollster,date,sampleSize,marginError,dvalue,rvalue,state,Year,Type
rcp_average,2014-11-02,,,43.8,46.2,Alaska,2014,Senate
PPP (D)*,2014-11-02,1052.0,3.0,45.0,46.0,Alaska,2014,Senate
Rasmussen Reports,2014-10-30,887.0,4.0,42.0,47.0,Alaska,2014,Senate
Ivan Moore Research,2014-10-26,544.0,,48.0,42.0,Alaska,2014,Senate
CBS News/NYT/YouGov,2014-10-23,561.0,9.0,44.0,48.0,Alaska,2014,Senate
FOX News*,2014-10-07,706.0,3.5,40.0,44.0,Alaska,2014,Senate
CNN/Opinion Research,2014-10-06,704.0,3.5,44.0,50.0,Alaska,2014,Senate
Rasmussen Reports,2014-10-12,700.0,4.0,45.0,48.0,Alaska,2014,Senate
CBS News/NYT/YouGov,2014-10-01,593.0,5.0,42.0,48.0,Alaska,2014,Senate
Rasmussen Reports,2014-09-24,750.0,4.0,43.0,48.0,Alaska,2014,Senate
PPP (D),2014-09-21,880.0,3.3,42.0,45.0,Alaska,2014,Senate
CBS News/NYT/YouGov,2014-09-02,412.0,6.0,38.0,44.0,Alaska,2014,Senate
Rasmussen Reports,2014-08-21,750.0,4.0,45.0,47.0,Alaska,2014,Senate
PPP (D),2014-08-03,,3.8,45.0,41.0,Alaska,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,5.2,49.0,37.0,Alaska,2014,Senate
PPP (D)**,2014-05-11,,4.1,42.0,37.0,Alaska,2014,Senate
Magellan Strategies (R),2014-04-14,603.0,4.0,41.0,46.0,Alaska,2014,Senate
Rasmussen Reports,2014-03-20,750.0,4.0,44.0,44.0,Alaska,2014,Senate
PPP (D)**,2014-02-01,,3.4,41.0,37.0,Alaska,2014,Senate
PPP (D),2014-07-28,,3.3,46.0,39.0,Alaska,2014,Senate
PPP (D),2014-02-05,,2.9,47.0,41.0,Alaska,2014,Senate
rcp_average,,,,43.8,46.2,Alaska,2014,Senate
rcp_average,2014-11-01,,,41.2,48.2,Arkansas,2014,Senate
PPP (D)*,2014-11-01,1092.0,3.0,41.0,49.0,Arkansas,2014,Senate
Rasmussen Reports,2014-10-29,967.0,3.0,44.0,51.0,Arkansas,2014,Senate
The Arkansas Poll,2014-10-27,568.0,4.1,36.0,49.0,Arkansas,2014,Senate
NBC News/Marist*,2014-10-23,621.0,3.9,43.0,45.0,Arkansas,2014,Senate
CBS News/NYT/YouGov,2014-10-23,1567.0,4.0,42.0,47.0,Arkansas,2014,Senate
Talk Business Poll*,2014-10-16,2075.0,2.2,41.0,49.0,Arkansas,2014,Senate
Rasmussen Reports,2014-10-15,940.0,3.0,44.0,47.0,Arkansas,2014,Senate
FOX News*,2014-10-07,707.0,3.5,39.0,46.0,Arkansas,2014,Senate
CBS News/NYT/YouGov,2014-10-01,1991.0,2.0,41.0,45.0,Arkansas,2014,Senate
Rasmussen Reports,2014-09-25,750.0,4.0,40.0,47.0,Arkansas,2014,Senate
USA Today/Suffolk*,2014-09-23,500.0,4.4,45.0,43.0,Arkansas,2014,Senate
PPP (D),2014-09-21,1453.0,2.6,39.0,45.0,Arkansas,2014,Senate
NBC News/Marist*,2014-09-04,639.0,3.9,40.0,45.0,Arkansas,2014,Senate
CNN/Opinion Research,2014-09-02,523.0,4.5,47.0,49.0,Arkansas,2014,Senate
CBS News/NYT/YouGov,2014-09-02,1572.0,3.0,39.0,43.0,Arkansas,2014,Senate
Rasmussen Reports,2014-08-26,750.0,4.0,44.0,43.0,Arkansas,2014,Senate
PPP (D),2014-08-03,,3.0,41.0,43.0,Arkansas,2014,Senate
Talk Business Poll*,2014-07-25,1780.0,2.3,42.0,44.0,Arkansas,2014,Senate
CBS News/NYT/YouGov,2014-07-24,,2.9,46.0,50.0,Arkansas,2014,Senate
Impact Management Group (R),2014-06-29,,2.7,43.0,47.0,Arkansas,2014,Senate
